"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2006","Stratum_1"," [kg*km2/km2]",1133983524.39584,89095122.775523,0.0939114211399241
"1","2007","Stratum_1"," [kg*km2/km2]",1799114734.81787,171801475.792098,0.113578478163376
"1","2008","Stratum_1"," [kg*km2/km2]",973838498.98723,76574403.5601174,0.0931763071603138
"1","2009","Stratum_1"," [kg*km2/km2]",2209580783.73823,176975257.610881,0.0923106307167113
"1","2010","Stratum_1"," [kg*km2/km2]",1691206549.01984,160319858.962665,0.111998475395161
"1","2011","Stratum_1"," [kg*km2/km2]",1979523352.42558,171064749.47481,0.101812114085761
"1","2012","Stratum_1"," [kg*km2/km2]",2143942335.6997,209135288.807518,0.116334192712816
"1","2013","Stratum_1"," [kg*km2/km2]",1266320133.4958,127114802.810236,0.122471457919153
"1","2014","Stratum_1"," [kg*km2/km2]",1389927457.91159,123732516.272474,0.10708709064124
